,class,tfidf,word
0,1,0.2931231813940642,recently
1,1,0.26489177776876294,na
2,1,0.24426931782838676,very
3,1,0.20986442057910037,still
4,1,0.18696802534419116,predominantly
5,1,0.18564468154957395,probably
6,1,0.1807592951930062,transiently
7,1,0.1807592951930062,alone
8,1,0.1758739088364385,stably
9,1,0.166103136123303,importantly
10,2,0.39045822609143016,recently
11,2,0.2703172334479132,very
12,2,0.2152526118196346,potentially
13,2,0.19660828257754617,exon
14,2,0.17725701653449832,mutually
15,2,0.16617845300109219,functionally
16,2,0.16617845300109219,never
17,2,0.14956060770098295,how
18,2,0.14745621193315964,still
19,2,0.14517036611091635,constitutively
20,3,0.51751270520299,functionally
21,3,0.330632998923872,ed
22,3,0.330632998923872,vus
23,3,0.28780223903363955,fully
24,3,0.2786606874169947,effectively
25,3,0.2518269591544346,probably
26,3,0.1798763993960247,constitutively
27,3,0.1798763993960247,likely
28,3,0.14390111951681978,just
29,3,0.12473594710965753,drastically
30,4,0.5129927914881877,probably
31,4,0.4244585955186732,ne
32,4,0.3705590913258258,ni
33,4,0.32450680370654295,possibly
34,4,0.21072055142265822,na
35,4,0.1515660520306009,very
36,4,0.14962289751738805,stably
37,4,0.12901258250366832,functionally
38,4,0.10881665273991858,fully
39,4,0.10687349822670575,indeed
40,5,0.39365547408158635,vus
41,5,0.3709304034708079,functionally
42,5,0.31653516274560567,mlpa
43,5,0.30544856194266473,july
44,5,0.2742834144001227,onlinefirst
45,5,0.22250092013307057,ed
46,5,0.2011269183963499,very
47,5,0.1787794830189777,probably
48,5,0.17828421936007974,still
49,5,0.1676057653302916,alone
50,6,0.6723066602852165,likely
51,6,0.20617404248746637,largely
52,6,0.19720995368366348,importantly
53,6,0.18824586487986059,recently
54,6,0.17031768727225483,very
55,6,0.16503241932959203,close
56,6,0.16503241932959203,exon
57,6,0.14878902301735808,structurally
58,6,0.12895048661504366,functionally
59,6,0.12549724325324038,probably
60,7,0.34107613534789305,stably
61,7,0.3092593316773806,constitutively
62,7,0.25342570090348165,nd
63,7,0.2481710686299968,recently
64,7,0.2280558684622736,yes
65,7,0.22653564213404837,alone
66,7,0.2087182320785614,transiently
67,7,0.16417470693984404,very
68,7,0.16417470693984404,up
69,7,0.16088872912064509,still
70,8,0.45865017406055986,stably
71,8,0.3975658010552604,neratinib
72,8,0.3057667827070399,alone
73,8,0.2960546177282083,poorly
74,8,0.1756355139508069,express
75,8,0.15288339135351994,transiently
76,8,0.15288339135351994,catalytically
77,8,0.1325219336850868,exceedingly
78,8,0.11709034263387127,lastly
79,8,0.11466254351513996,dramatically
80,9,0.5619626001990715,differentially
81,9,0.24376714332274327,stably
82,9,0.23977668242683697,ra
83,9,0.22212339542757495,liver
84,9,0.20313928610228607,directly
85,9,0.18282535749205744,transiently
86,9,0.1798280320637029,how
87,9,0.16251142888182885,alone
88,9,0.15734952805574004,nearly
89,9,0.13882712214223433,lethally
